Time,Length_x_copper32.5um0.25density,Length_y_copper32.5um0.25density,Length_x_copper32.5um0.5density,Length_y_copper32.5um0.5density,Length_x_copper32.5um1,Length_y_copper32.5um1,Length_x_copper32.5um2density,Length_y_copper32.5um2density,Length_x_copper32.5um4density,Length_y_copper32.5um4density
4e-07,6.465425394708291e-05,1.7287233276874758e-05,6.465425394708291e-05,1.4521276170853525e-05,6.465425394708291e-05,1.3138297617842909e-05,6.465425394708291e-05,1.1755319064832292e-05,6.465425394708291e-05,1.0372340511821676e-05
8e-07,6.465425394708291e-05,2.143616984540131e-05,6.465425394708291e-05,1.8670212739380077e-05,6.465425394708291e-05,1.7287233276874758e-05,6.465425394708291e-05,1.4521276170853525e-05,6.465425394708291e-05,1.3138297617842909e-05
1.2e-06,6.465425394708291e-05,2.558510641392786e-05,6.465425394708291e-05,2.2819149307906628e-05,6.465425394708291e-05,2.0053192201885395e-05,6.465425394708291e-05,1.7287233276874758e-05,6.465425394708291e-05,1.4521276170853525e-05
1.6e-06,6.465425394708291e-05,2.8351063519949093e-05,6.465425394708291e-05,2.4202126951422542e-05,6.465425394708291e-05,2.143616984540131e-05,6.603723886655644e-05,1.8670212739380077e-05,6.465425394708291e-05,1.7287233276874758e-05
2e-06,6.327127266558819e-05,3.2500000088475645e-05,6.465425394708291e-05,2.696808587643318e-05,6.465425394708291e-05,2.4202126951422542e-05,6.465425394708291e-05,2.143616984540131e-05,6.603723886655644e-05,1.8670212739380077e-05
2.4e-06,6.742021287209354e-05,3.526595901348628e-05,6.465425394708291e-05,2.973404298245441e-05,6.465425394708291e-05,2.558510641392786e-05,6.465425394708291e-05,2.2819149307906628e-05,6.603723886655644e-05,2.0053192201885395e-05
2.8e-06,7.29521234461572e-05,3.6648936657002196e-05,6.327127266558819e-05,3.2500000088475645e-05,6.465425394708291e-05,2.696808587643318e-05,6.465425394708291e-05,2.4202126951422542e-05,6.465425394708291e-05,2.0053192201885395e-05
3.2e-06,7.433510472765192e-05,3.803191430051811e-05,6.465425394708291e-05,3.388297773199156e-05,6.327127266558819e-05,2.8351063519949093e-05,6.465425394708291e-05,2.4202126951422542e-05,6.465425394708291e-05,2.143616984540131e-05
3.6e-06,7.018616815912537e-05,4.079787322552875e-05,6.880319415358827e-05,3.526595901348628e-05,6.465425394708291e-05,2.973404298245441e-05,6.465425394708291e-05,2.558510641392786e-05,6.465425394708291e-05,2.2819149307906628e-05
4e-06,6.119680801930372e-05,4.3563828512560576e-05,7.15691494406201e-05,3.6648936657002196e-05,6.327127266558819e-05,3.2500000088475645e-05,6.465425394708291e-05,2.696808587643318e-05,6.465425394708291e-05,2.4202126951422542e-05
4.4e-06,4.944149077346083e-05,4.49468097940553e-05,7.29521234461572e-05,3.803191430051811e-05,6.465425394708291e-05,3.388297773199156e-05,6.327127266558819e-05,2.8351063519949093e-05,6.465425394708291e-05,2.4202126951422542e-05
4.8e-06,3.284574449935462e-05,4.632978743757121e-05,7.15691494406201e-05,3.9414891944034025e-05,6.742021287209354e-05,3.388297773199156e-05,6.327127266558819e-05,2.973404298245441e-05,6.465425394708291e-05,2.558510641392786e-05
5.2e-06,1.5558510312985163e-05,4.632978743757121e-05,6.742021287209354e-05,4.079787322552875e-05,6.880319415358827e-05,3.526595901348628e-05,6.465425394708291e-05,3.111702244495973e-05,6.465425394708291e-05,2.558510641392786e-05
5.6e-06,2.0398936612764373e-05,4.909574636258185e-05,6.050531919754576e-05,4.3563828512560576e-05,7.018616815912537e-05,3.6648936657002196e-05,6.327127266558819e-05,3.111702244495973e-05,6.327127266558819e-05,2.696808587643318e-05
6e-06,2.7313830287312157e-05,5.186170164961368e-05,5.220744606049266e-05,4.49468097940553e-05,7.15691494406201e-05,3.6648936657002196e-05,6.327127266558819e-05,3.2500000088475645e-05,6.327127266558819e-05,2.8351063519949093e-05
6.4e-06,3.768616988963913e-05,5.186170164961368e-05,4.252659527992364e-05,4.49468097940553e-05,7.018616815912537e-05,3.803191430051811e-05,6.465425394708291e-05,3.388297773199156e-05,6.327127266558819e-05,2.8351063519949093e-05
6.8e-06,4.252659527992364e-05,5.324467929312959e-05,2.593085173430154e-05,4.632978743757121e-05,6.880319415358827e-05,3.9414891944034025e-05,6.603723886655644e-05,3.388297773199156e-05,6.327127266558819e-05,2.973404298245441e-05
7.2e-06,4.0452126995660365e-05,4.909574636258185e-05,1.5558510312985163e-05,4.771276508108713e-05,6.603723886655644e-05,4.079787322552875e-05,6.742021287209354e-05,3.526595901348628e-05,6.465425394708291e-05,2.973404298245441e-05
7.6e-06,4.0452126995660365e-05,4.49468097940553e-05,1.763297859724844e-05,4.909574636258185e-05,6.188829866005108e-05,4.218085086904466e-05,6.880319415358827e-05,3.526595901348628e-05,6.327127266558819e-05,3.111702244495973e-05
8e-06,4.252659527992364e-05,4.079787322552875e-05,2.178191516577499e-05,5.0478724006097764e-05,5.635638262901921e-05,4.3563828512560576e-05,6.880319415358827e-05,3.6648936657002196e-05,6.327127266558819e-05,3.111702244495973e-05
8.4e-06,5.0132979595218785e-05,3.388297773199156e-05,2.66223405560595e-05,5.186170164961368e-05,5.082446841697674e-05,4.3563828512560576e-05,6.880319415358827e-05,3.6648936657002196e-05,6.465425394708291e-05,3.2500000088475645e-05
8.8e-06,5.773936027253512e-05,3.2500000088475645e-05,3.284574449935462e-05,5.186170164961368e-05,4.390957474242896e-05,4.49468097940553e-05,6.880319415358827e-05,3.803191430051811e-05,6.465425394708291e-05,3.2500000088475645e-05
9.2e-06,6.119680801930372e-05,3.526595901348628e-05,3.837765871139709e-05,5.186170164961368e-05,3.49202146026073e-05,4.49468097940553e-05,6.880319415358827e-05,3.9414891944034025e-05,6.465425394708291e-05,3.388297773199156e-05
9.6e-06,6.465425394708291e-05,3.803191430051811e-05,3.9760636354913004e-05,5.186170164961368e-05,2.178191516577499e-05,4.632978743757121e-05,6.742021287209354e-05,3.9414891944034025e-05,6.603723886655644e-05,3.388297773199156e-05
1e-05,6.742021287209354e-05,3.803191430051811e-05,3.837765871139709e-05,4.909574636258185e-05,1.6250000044237822e-05,4.771276508108713e-05,6.465425394708291e-05,4.079787322552875e-05,6.603723886655644e-05,3.388297773199156e-05
1.04e-05,NA,NA,NA,NA,NA,NA,6.188829866005108e-05,4.218085086904466e-05,6.742021287209354e-05,3.526595901348628e-05
1.08e-05,NA,NA,NA,NA,NA,NA,5.9122341554029845e-05,4.218085086904466e-05,6.742021287209354e-05,3.526595901348628e-05
1.12e-05,NA,NA,NA,NA,NA,NA,5.4973404985503294e-05,4.3563828512560576e-05,6.742021287209354e-05,3.526595901348628e-05
1.16e-05,NA,NA,NA,NA,NA,NA,5.082446841697674e-05,4.3563828512560576e-05,6.742021287209354e-05,3.6648936657002196e-05
1.2e-05,NA,NA,NA,NA,NA,NA,4.667553184845019e-05,4.3563828512560576e-05,6.742021287209354e-05,3.6648936657002196e-05
1.24e-05,NA,NA,NA,NA,NA,NA,4.1143617636407726e-05,4.49468097940553e-05,6.742021287209354e-05,3.803191430051811e-05
1.28e-05,NA,NA,NA,NA,NA,NA,3.561170342436526e-05,4.49468097940553e-05,6.603723886655644e-05,3.872340312227607e-05
1.32e-05,NA,NA,NA,NA,NA,NA,2.7313830287312157e-05,4.632978743757121e-05,6.603723886655644e-05,3.9414891944034025e-05
1.36e-05,NA,NA,NA,NA,NA,NA,2.0398936612764373e-05,4.771276508108713e-05,6.465425394708291e-05,4.079787322552875e-05
1.4e-05,NA,NA,NA,NA,NA,NA,1.763297859724844e-05,4.771276508108713e-05,6.327127266558819e-05,4.079787322552875e-05
1.44e-05,NA,NA,NA,NA,NA,NA,1.6250000044237822e-05,4.909574636258185e-05,6.188829866005108e-05,4.1489362047286704e-05
1.48e-05,NA,NA,NA,NA,NA,NA,1.763297859724844e-05,5.0478724006097764e-05,5.9122341554029845e-05,4.218085086904466e-05
1.52e-05,NA,NA,NA,NA,NA,NA,NA,NA,5.635638262901921e-05,4.218085086904466e-05
1.56e-05,NA,NA,NA,NA,NA,NA,NA,NA,5.4973404985503294e-05,4.218085086904466e-05
1.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,5.15159572387347e-05,4.3563828512560576e-05
1.64e-05,NA,NA,NA,NA,NA,NA,NA,NA,4.8058509491966106e-05,4.3563828512560576e-05
1.68e-05,NA,NA,NA,NA,NA,NA,NA,NA,4.529255420493428e-05,4.3563828512560576e-05
1.72e-05,NA,NA,NA,NA,NA,NA,NA,NA,4.183510645816568e-05,4.3563828512560576e-05
1.76e-05,NA,NA,NA,NA,NA,NA,NA,NA,3.837765871139709e-05,4.49468097940553e-05
1.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,3.284574449935462e-05,4.49468097940553e-05
1.84e-05,NA,NA,NA,NA,NA,NA,NA,NA,2.8696807930828072e-05,4.632978743757121e-05
1.88e-05,NA,NA,NA,NA,NA,NA,NA,NA,2.3164893718785606e-05,4.632978743757121e-05
1.92e-05,NA,NA,NA,NA,NA,NA,NA,NA,2.0398936612764373e-05,4.771276508108713e-05
1.96e-05,NA,NA,NA,NA,NA,NA,NA,NA,1.763297859724844e-05,4.771276508108713e-05
2e-05,NA,NA,NA,NA,NA,NA,NA,NA,1.763297859724844e-05,4.909574636258185e-05
